序號,縣市,測站,監測日期,酸雨pH值,雨水導電度 (μS/cm),雨量累計 (mm)
92,臺南市,新營,2017/02/22,6.84,35.59,0.4
80,臺南市,新營,2017/03/06,4.59,38.77,2.8
78,臺南市,新營,2017/03/08,4.18,51.78,8.8
63,臺南市,新營,2017/03/23,5.32,34.94,0.6
60,臺南市,新營,2017/03/26,4.54,44.73,2.8
54,臺南市,新營,2017/04/01,5.28,6.52,3.8
44,臺南市,新營,2017/04/11,4.5,15.96,8.4
43,臺南市,新營,2017/04/12,4.5,10.77,63.4
42,臺南市,新營,2017/04/13,4.19,21.02,10.6
36,臺南市,新營,2017/04/19,4.67,16.52,1.4
35,臺南市,新營,2017/04/21,4.45,5.75,3.4
34,臺南市,新營,2017/04/22,4.66,8.49,10.2
30,臺南市,新營,2017/04/27,4.77,9.84,12.8
18,臺南市,新營,2017/05/15,6.51,28.37,0.6
17,臺南市,新營,2017/05/16,5.27,4.74,59.4
13,臺南市,新營,2017/05/20,6.18,3.89,6.8
10,臺南市,新營,2017/05/24,4.96,4.8,16.4
9,臺南市,新營,2017/05/25,4.6,14.15,12.6
4,臺南市,新營,2017/05/30,5.45,6.02,12.2
2,臺南市,新營,2017/06/01,5.79,5.47,18.2
1,臺南市,新營,2017/06/02,4.61,9.49,25.8
